visitor,tourism,business,official affairs,studying,others,age0-20,age21-30,age31-40,age41-50,age51-60,age61
1490,1313,20,5,8,144,138,339,242,255,264,161
578,255,7,0,1,315,11,49,84,65,44,20
798,501,15,0,0,282,44,71,167,132,77,38
742,323,4,2,2,411,26,72,96,82,47,19
1387,1196,16,10,14,151,191,331,206,210,201,135
986,855,4,0,1,126,54,226,229,171,118,109
4333,3032,54,30,24,1193,184,759,919,591,412,336
19938,18581,77,67,13,1200,2607,2517,3298,2990,2759,5427
3802,3189,19,11,2,581,473,629,674,473,647,746
471,343,3,8,13,104,26,80,99,88,50,29
1159,676,7,1,1,474,33,299,215,146,108,101
3858,1797,786,68,70,1137,132,703,923,703,356,119
64,48,2,0,0,14,2,4,17,11,9,12
20174,0,0,0,0,20174,443,1260,2035,3906,5741,6789
500413,413949,4034,534,14003,67893,17011,138797,141104,66171,63504,58996
286273,279174,2019,91,715,4274,20144,71069,47535,51611,47821,45462
101779,100004,84,11,234,1446,10262,21375,25044,18819,13791,11481
57026,55756,56,2,147,1065,5934,13256,10654,9285,10340,6612
2909,2885,1,0,13,10,182,924,853,368,365,216
50569,29015,201,176,56,21121,5084,6991,7129,5841,3647,2491
18936,11464,154,152,75,7091,1662,3677,3053,2189,1472,1001
52660,45671,61,445,71,6412,4348,15554,12607,7457,4588,2623
44416,32528,1073,368,2338,8109,4331,10596,10812,6071,4813,2431
13858,4483,2896,99,92,6288,539,1892,2822,1716,823,431
31217,28485,116,1,57,2558,3527,7075,6795,4640,3959,2900
20114,18448,152,2,71,1441,1705,4983,3656,3311,3146,2022
8014,6742,95,283,390,504,648,1390,2591,2037,988,318
6839,3055,830,3,152,2799,239,1706,2403,1186,505,299
6556,1990,17,83,33,4433,132,1395,1221,515,248,89
930,819,21,2,51,37,126,287,243,144,69,38
4585,3349,15,9,38,1174,494,1263,1087,651,461,339
2492,1334,12,78,45,1023,40,376,506,332,148,93
4236,1484,44,144,22,2542,218,2164,1210,257,204,177
1538,251,64,2,7,1214,10,429,606,160,80,31
1225,242,102,106,30,745,39,315,384,168,60,15
854,290,180,19,62,303,68,194,270,160,75,31
1409,1331,9,0,3,66,38,251,243,284,218,365
271,146,62,5,13,45,15,44,109,55,26,9
4786,1953,348,214,61,2210,223,1513,1423,615,299,164
95815,76044,368,3153,308,15942,10775,17360,14919,13668,16001,17242
19439,15237,47,27,49,4079,1511,5140,3135,2421,3254,2702
2054,1550,18,14,15,457,103,389,504,299,196,169
2565,1934,3,13,68,547,99,532,557,315,328,226
3646,2779,29,36,48,754,103,814,919,500,331,325
32955,24861,165,39,87,7803,3189,6583,7569,4882,3353,1613
11522,9737,137,16,44,1588,446,2383,2371,1794,1946,1624
10103,8262,220,23,213,1385,427,1748,2307,1770,1810,998
10395,8254,267,54,430,1390,620,2571,2027,1683,1352,1220
4856,3400,61,19,54,1322,82,594,892,995,669,396
3348,2737,31,5,57,518,166,717,586,584,540,344
2397,698,89,2,10,1598,51,299,293,176,126,42
2403,2032,20,17,64,270,70,496,576,547,269,258
1122,542,4,1,8,567,8,127,215,110,76,26
820,716,19,0,32,53,36,171,154,162,156,109
1655,1485,24,8,36,102,86,435,334,294,270,167
2259,1489,10,3,26,731,52,382,568,320,141,119
1585,1434,22,1,30,98,68,332,294,290,303,240
916,749,12,0,6,149,32,161,217,173,120,80
992,800,4,3,14,171,22,214,230,169,137,99
1329,864,12,7,57,389,48,306,178,195,159,65
1245,1012,21,4,23,185,16,257,245,247,219,128
569,252,5,1,2,309,8,48,89,66,36,23
749,495,21,2,1,230,16,87,155,136,96,50
639,330,3,2,2,302,11,70,84,89,59,39
1181,979,14,11,29,148,86,264,187,218,229,89
752,619,14,2,1,116,20,207,159,143,93,67
3962,2495,44,22,55,1346,134,695,797,575,302,223
13558,12114,77,46,50,1271,972,1808,2442,2294,2282,3446
3172,2550,21,8,3,590,234,469,574,397,649,706
638,499,2,10,6,121,39,124,127,127,71,39
1064,513,9,7,2,533,15,243,174,120,95,48
3214,1208,578,72,93,1263,91,506,691,484,298,104
72,44,3,0,0,25,4,7,19,7,10,6
18788,0,0,0,0,18788,322,1285,1856,3575,5606,6144
475007,395196,3743,399,14680,60989,27351,138838,133662,60406,54228,47686
282476,275286,1901,136,771,4382,18006,77298,51694,51452,45179,36174
118437,116323,84,24,719,1287,19121,26305,26066,22281,13404,10350
61728,60526,46,2,280,874,9344,14229,10823,10073,10151,6341
3622,3556,1,0,55,10,479,1268,883,417,352,223
40748,22430,174,166,80,17898,3371,6607,6006,4561,2868,1641
27880,19928,182,346,223,7201,5310,5677,4581,4066,2391,1561
37684,30596,61,308,115,6604,2392,11601,8936,4711,2916,1646
58339,45005,1098,542,3490,8204,10409,11320,12393,9385,6434,3113
13249,4892,3084,194,121,4958,749,2171,3089,1867,839,332
25538,22652,121,5,139,2621,3317,6290,5083,3826,2943,1926
24743,23162,128,11,50,1392,4952,5511,3490,4619,2808,2096
9244,7647,74,284,584,655,1520,1717,2922,1942,847,259
7295,3429,862,5,197,2802,490,1871,2397,1295,480,280
6303,1621,15,154,71,4442,107,1404,1102,393,185,64
4736,4318,42,12,112,252,897,1109,1341,651,427,155
4829,3472,13,2,98,1244,836,1315,1014,727,373,250
2835,1613,6,137,37,1042,160,490,554,353,167,130
3733,1274,48,192,30,2189,198,1966,1027,263,174,104
1819,245,76,5,14,1479,24,746,540,152,57,26
1260,237,144,93,41,745,56,366,381,148,74,21
979,356,228,29,61,305,83,275,318,182,76,22
940,879,10,1,1,49,28,164,225,238,160,115
384,252,52,8,16,56,18,71,141,71,43,16
6396,2797,456,360,133,2650,428,2333,1798,796,469,173
105398,86508,367,3470,350,14703,25567,16732,13859,17788,15491,10452
16133,12012,38,26,46,4011,2206,3547,2573,2299,2469,1723
1924,1481,19,23,18,383,146,442,470,310,154,108
2361,1821,7,3,47,483,245,624,378,306,225,127
3370,2732,14,41,47,536,259,941,799,463,272,178
28666,21774,175,33,110,6574,5006,5402,5961,4069,2345,1327
11155,9538,129,10,46,1432,932,2745,1965,1643,1795,1278
8947,7284,209,25,160,1269,817,1592,1821,1615,1540,648
8559,6915,229,25,297,1093,765,2493,1513,1336,1005,648
4136,3039,47,13,68,969,242,630,747,820,577,280
2900,2252,41,4,35,568,174,641,514,494,433,213
1941,606,83,3,21,1228,87,257,249,146,87,27
2590,2238,27,7,51,267,225,551,583,547,295,239
984,524,9,7,5,439,22,124,191,110,72,38
1156,1069,27,0,11,49,229,313,176,182,144,85
2079,1926,26,9,31,87,394,608,272,364,290,89
2201,1479,12,0,20,690,157,434,443,291,161,83
1239,1132,19,3,14,71,119,299,217,213,217,132
868,751,5,0,2,110,68,180,213,161,109,40
889,743,6,1,12,127,56,174,183,155,147,74
1338,946,9,1,36,346,211,251,184,195,125,40
1181,986,19,1,10,165,89,259,212,216,176,105
403,207,2,0,1,193,5,41,76,54,27,14
765,508,18,1,3,235,26,83,165,117,86,69
448,215,1,1,0,231,7,59,73,48,32,7
939,767,7,8,27,130,77,257,132,179,153,54
820,682,6,5,7,120,64,226,180,153,98,42
3519,2213,46,32,47,1181,233,712,707,520,234,106
13201,11804,77,61,57,1202,1811,2065,2129,2421,2112,2390
3547,2949,12,15,1,570,504,550,641,529,595,582
