년_월,국가,방문자 수,전년 동월 대비 성장률,동월 구성 비율 ,남자,여자,관광,사업,공무,유학,기타,20대 미만,20대,30대,40대,50대,60대 이상
19-07,Hong Kong,59036,1.135799085,4.076883183,20878,37396,57868,50,1,212,905,14776,10055,9485,11751,7629,4578
19-07,Macao,5246,-5.52854313,0.362276055,1705,3541,5207,1,0,23,15,1575,1162,1090,693,407,319
19-07,Phillipines,29074,-0.557512741,2.007780027,8468,7083,13795,160,171,121,14827,1651,4215,3960,2964,1854,907
19-07,Indonesia,18260,1.101821605,1.260991377,8062,6266,11279,146,255,230,6350,2333,4187,3404,2519,1346,539
19-07,Thailand,37278,11.47727273,2.574328398,10535,21228,30132,58,230,108,6750,2711,11238,8904,4717,2683,1510
19-07,Vietnam,52521,13.41179011,3.626973061,21621,25633,39404,1049,348,3062,8658,8985,11103,10993,8094,5436,2643
19-07,India,10432,5.065968375,0.720408655,5899,1305,3509,2828,51,142,3902,448,1688,2524,1576,668,300
19-07,Malaysia,16831,7.244806933,1.162308098,6528,8095,14055,124,8,128,2516,1730,4669,3599,2300,1561,764
19-07,Singapore,10992,-4.591615311,0.759080899,4442,5241,9392,138,6,43,1413,701,2800,1899,2088,1580,615
19-07,Mongolia,8766,-3.351708931,0.60535873,3857,4870,6941,78,233,740,774,1666,1928,2372,1760,758,243
19-07,Uzbekistan,7405,5.831070459,0.511371366,4949,1904,3444,600,1,336,3024,555,2050,2306,1247,442,253
19-07,Myanmar,5421,-14.07513077,0.374361131,2307,452,1657,12,114,72,3566,105,1106,965,367,173,43
19-07,*GCC,4638,15.92101975,0.320289047,2379,2216,4494,5,13,40,86,1554,1064,849,621,377,130
19-07,Kazakhstan,4953,11.45364536,0.342042185,2001,2610,3612,11,4,81,1245,995,1349,1034,607,387,239
19-07,Turkey,2962,10.39880731,0.204548546,1125,709,1684,18,34,34,1192,202,532,514,378,151,57
19-07,Cambodia,2565,2.313522138,0.177132688,1652,910,961,56,141,51,1356,283,1240,633,181,135,90
19-07,Sri Lanka,1355,-11.14754098,0.093573018,1073,126,241,54,3,38,1019,54,496,468,121,42,18
19-07,Bangladesh,1196,-12.25238445,0.082592863,867,142,221,135,119,72,649,65,326,347,162,88,21
